Took,Over,Draft Round,Edge,Result,Account
Barbarian Hut,Heal Spirit,4,-0.031,Win,#9RG0VPUVY
Goblin Barrel,Barbarian Barrel,1,-0.030,Loss,#9RG0VPUVY
Ice Spirit,Three Musketeers,4,-0.029,Loss,#9RG0VPUVY
Tesla,Valkyrie,3,-0.029,Loss,#9RG0VPUVY
Giant Snowball,Night Witch,3,-0.029,Win,#9RG0VPUVY
Ram Rider,Flying Machine,4,-0.026,Loss,#9RG0VPUVY
Ram Rider,Fisherman,1,-0.026,Loss,#9RG0VPUVY
Berserker,Electro Spirit,4,-0.025,Loss,#9RG0VPUVY
Berserker,Electro Spirit,2,-0.025,Win,#9RQ8YRYQL
Berserker,Electro Spirit,2,-0.025,Win,#9RG0VPUVY
Tesla,Dark Prince,3,-0.025,Loss,#9RG0VPUVY
Baby Dragon,Rascals,1,-0.023,Win,#9RG0VPUVY
Mother Witch,Barbarian Hut,4,-0.022,Loss,#9RG0VPUVY
Mega Knight,Zappies,2,-0.021,Win,#9RG0VPUVY
Berserker,Ice Spirit,2,-0.021,Win,#9RG0VPUVY
Golem,Mega Knight,1,-0.021,Win,#9RG0VPUVY
The Log,Goblin Drill,2,-0.021,Loss,#9RG0VPUVY
Arrows,Zappies,2,-0.020,Win,#9RG0VPUVY
Knight,Executioner,1,-0.020,Loss,#9RG0VPUVY
Bandit,Zap,1,-0.020,Win,#9RG0VPUVY
Dark Prince,Fisherman,2,-0.017,Win,#9RG0VPUVY
Valkyrie,Giant,2,-0.017,Win,#9RG0VPUVY
Barbarian Hut,Royal Delivery,4,-0.017,Win,#9RG0VPUVY
Fireball,Skeleton Barrel,2,-0.017,Win,#9RG0VPUVY
Barbarian Barrel,Goblin Drill,2,-0.017,Win,#9RG0VPUVY
Fireball,Skeleton Barrel,2,-0.017,Win,#9RG0VPUVY
Tesla,Ram Rider,2,-0.016,Win,#9RG0VPUVY
Baby Dragon,Three Musketeers,3,-0.016,Win,#9RG0VPUVY
Mega Knight,Royal Hogs,4,-0.016,Win,#9RG0VPUVY
Hunter,Night Witch,1,-0.015,Win,#9RG0VPUVY
Giant Snowball,Hunter,2,-0.014,Loss,#9RG0VPUVY
Baby Dragon,Firecracker,1,-0.013,Loss,#9RQ8YRYQL
Baby Dragon,Firecracker,1,-0.013,Win,#9RG0VPUVY
Valkyrie,Flying Machine,1,-0.013,Win,#9RG0VPUVY
Valkyrie,Fisherman,1,-0.013,Win,#9RG0VPUVY
Valkyrie,Mother Witch,1,-0.012,Win,#9RG0VPUVY
Valkyrie,Rune Giant,2,-0.012,Loss,#9RG0VPUVY
Night Witch,Giant,4,-0.010,Loss,#9RG0VPUVY
Night Witch,Giant,1,-0.010,Win,#9RG0VPUVY
Tesla,Giant Snowball,1,-0.007,Loss,#9RG0VPUVY
Royal Hogs,Goblin Hut,1,-0.007,Win,#9RG0VPUVY
Night Witch,Flying Machine,4,-0.006,Win,#9RG0VPUVY
Mother Witch,Giant,2,-0.005,Win,#9RG0VPUVY
The Log,Barbarian Barrel,3,-0.004,Win,#9RG0VPUVY
Dart Goblin,Executioner,1,-0.003,Win,#9RG0VPUVY
Mother Witch,Flying Machine,1,-0.001,Loss,#9RG0VPUVY
Mother Witch,Rune Giant,3,+0.000,Win,#9RG0VPUVY
Poison,Vines,4,+0.001,Win,#9RG0VPUVY
Poison,Vines,1,+0.001,Win,#9RG0VPUVY
Arrows,Mega Knight,1,+0.001,Loss,#9RG0VPUVY
Wizard,Dart Goblin,4,+0.002,Loss,#9RG0VPUVY
Golem,Rascals,1,+0.002,Loss,#9RG0VPUVY
Bandit,Mortar,3,+0.002,Win,#9RG0VPUVY
Executioner,Dart Goblin,3,+0.003,Loss,#9RG0VPUVY
Graveyard,Princess,4,+0.003,Win,#9RG0VPUVY
Electro Spirit,Ice Spirit,4,+0.004,Loss,#9RG0VPUVY
Valkyrie,Dark Prince,1,+0.004,Win,#9RG0VPUVY
Mother Witch,Night Witch,1,+0.005,Win,#9RG0VPUVY
Giant,Rune Giant,3,+0.005,Win,#9RG0VPUVY
Valkyrie,Hunter,3,+0.008,Loss,#9RG0VPUVY
